Variable,Label,Binary,Dummy,Create_Buckets
C0414,In-school suspension/no services available,1,,
C0416,In-school suspension/no services available - action used,1,,
C0418,In-school suspension with services available,1,,
C0420,In-school suspension with services available - action used,1,,
C0422,Referral to school counselor available,1,,
C0424,Referral to school counselor available - action used,1,,
C0426,In-school disciplinary plan available,1,,
C0428,In-school disciplinary plan available - action used,1,,
C0430,Outside school disciplinary plan available,1,,
C0432,Outside school disciplinary plan available - action used,1,,
C0434,Loss of bus privileges for misbehavior available,1,,
C0436,Loss of bus privileges for misbehavior available - action used,1,,
C0438,Corporal punishment available,1,,
C0440,Corporal punishment available - action used,1,,
C0442,School probation available,1,,
C0444,School probation available - action used,1,,
C0446,Detention/Saturday school available,1,,
C0448,Detention/Saturday school available - action used,1,,
C0450,Loss of student privileges available,1,,
C0452,Loss of student privileges available - action used,1,,
C0454,Require community service available,1,,
C0456,Require community service available - action used,1,,
C0528,Percent special education students,,,1
C0532,Percent students below 15th percentile standardized tests,,,1
C0534,Percent students likely to go to college,,,1
C0536,Percent students academic achievement important,,,1
C0538,Typical number of classroom changes,,,1
C0560,Crime where students live,,1,
C0562,Crime where school located,,1,
C0568,Average percent daily attendance,,,1
SEC_FT16,"Total # of full-time security guards, SROs, or sworn law enforcement officers",,,1
SEC_PT16,"Total # of part-time security guards, SROs, or sworn law enforcement officers",,,1
FR_URBAN,Urbanicity - Based on Urban-centric location of school,,1,
FR_LVEL,Grade Level of school,,1,
